"Author","Year","Accession","Replicate","Quantitation","Species","File","Time"
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F16.RAW",124.9868
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F17.RAW",124.9823
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F19.RAW",125.0242
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F20.RAW",125.0098
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F21.RAW",124.9941
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F22.RAW",124.9975
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F23.RAW",124.9808
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F24.RAW",124.98
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F25.RAW",124.9768
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F26.RAW",124.9968
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F27.RAW",124.9935
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F28.RAW",124.9906
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F29.RAW",124.9814
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F30.RAW",124.9839
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F31.RAW",124.9908
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F32.RAW",124.9828
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F33.RAW",125.0005
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F34.RAW",124.9899
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F35.RAW",124.9957
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F36.RAW",124.9761
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F37.RAW",124.994
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F38.RAW",124.9823
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F39.RAW",124.997
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F40.RAW",124.9744
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F41.RAW",124.9847
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F42.RAW",124.98
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F43.RAW",124.9898
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F44.RAW",124.9781
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F45.RAW",124.9863
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F46.RAW",124.9953
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F47.RAW",124.9949
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F48.RAW",124.9742
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F49.RAW",124.9857
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F50.RAW",124.9773
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F51.RAW",124.992
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F52.RAW",124.9871
"Aryal",2014,"MSV000082122","Bio1","Spectral counts","Arabidopsis thaliana","Bio1_F55.RAW",124.9908
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F16.RAW",124.9853
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F17.RAW",124.9865
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F18.RAW",124.986
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F19.RAW",125.0037
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F20.RAW",124.9978
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F21.RAW",125.0136
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F22.RAW",124.9941
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F23.RAW",124.9968
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F24.RAW",125.0045
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F25.RAW",124.9963
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F27.RAW",125.0024
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F28.RAW",124.9783
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F29.RAW",124.9932
"Aryal",2014,"MSV000082122","Bio2","Spectral counts","Arabidopsis thaliana","Bio2_F30.RAW",124.9901
